brand,post_id,comments,views,likes,is_removed,unique_faces,detected_faces,is_product_in_usage,product_clearly_seen,is_a_child_or_baby_present,hashtag_ad_count,standalone_ad_count,most_common,words_count,paid_partnership,KEYWORDS_CAPTION,has_emoji,sponsor_integration_in_caption,CTA_BUY,CTA_GIFT,CTA_SIGN_UP,CTA_READ,CTA_FIND_OUT,PG_BRAND,COTERIE_BRAND,HEALTHYBABY_BRAND,HONEST_BRAND,HUGGIES_BRAND,KUDOSTOBABY_BRAND,LUVS_BRAND,MYMILLIEMOON_BRAND,FIRST_PERSON_QUESTIONS,GENERAL_AUDIENCE_QUESTIONS,NEGATIVE_HOOK,brand_counts,narrative_changes,brand_as_sponsor,num_scenes
pampersus,C8H-R1VpiBF,9,0,3,False,37.0,73.0,True,True,True,1,0,hashtag_ad,35,0,True,True,0.5142857142857142,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2.0,1.0,0.0,385.0
pampersus,DB1rCVTJU-I,7,-1,1021,False,38.0,50.0,False,True,True,1,0,hashtag_ad,21,0,False,True,0.4761904761904761,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,1.0,0.0,327.0
pampersus,C7kYDHHMM4Z,38,0,911,False,29.0,111.0,False,False,False,1,0,hashtag_ad,78,0,False,False,0.2307692307692307,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.0,1.0,0.0,229.0
pampersus,C7xKWw6S4v1,17,0,478,False,43.0,71.0,True,True,True,1,0,hashtag_ad,108,0,False,True,0.25,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,1.0,0.0,265.0
pampersus,DBeV82CvVW-,23,-1,1286,False,59.0,118.0,True,True,True,1,0,hashtag_ad,89,0,True,False,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,1.0,0.0,371.0
pampersus,C717jWBRj4Z,12,0,3,False,114.0,146.0,True,True,False,1,0,hashtag_ad,97,0,False,True,0.2164948453608247,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,1.0,0.0,422.0
pampersus,C8xIf9ZOSLR,69,0,1136,False,40.0,58.0,True,True,True,1,0,hashtag_ad,70,0,True,False,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,1.0,0.0,621.0
pampersus,C80N9R6u1j-,1,0,114,False,18.0,100.0,False,True,True,1,0,hashtag_ad,15,0,False,False,0.7333333333333333,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,1.0,0.0,195.0
pampersus,C8zQX9Suaub,38,0,1116,False,73.0,110.0,True,True,True,1,0,hashtag_ad,83,0,True,False,0.1927710843373494,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2.0,1.0,0.0,443.0
pampersus,C8KbMrhuTZ6,31,0,652,False,92.0,130.0,True,True,True,1,0,hashtag_ad,96,0,True,False,0.15625,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2.0,1.0,0.0,615.0
pampersus,C59xBnCM_af,75,0,3,False,,,,,,1,0,hashtag_ad,30,0,False,True,0.0,False,False,False,False,False,,,,,,,,,,,,,,,
pampersus,C7M7LjauTyq,39,0,221,False,61.0,69.0,True,True,True,1,0,hashtag_ad,129,0,True,True,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0,1.0,0.0,657.0
pampersus,DCCfgDJx_Fo,11,-1,1356,False,,,,,,2,0,hashtag_ad,96,0,False,True,0.0,True,False,False,False,False,,,,,,,,,,,,,,,
pampersus,C8DY6Acto0C,7,0,938,False,79.0,107.0,True,True,True,1,0,hashtag_ad,30,0,False,False,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,0.0,1.0,0.0,291.0
pampersus,C_0awDqOUy0,8,0,221,False,,,,,,1,0,hashtag_ad,27,0,False,False,0.0,False,False,False,False,False,,,,,,,,,,,,,,,
pampersus,C77ZmrkvfDA,4,0,1128,True,,,,,,1,0,hashtag_ad,30,0,False,False,0.0,False,False,False,False,False,,,,,,,,,,,,,,,
pampersus,DBR1DZivO14,30,11275,2069,False,97.0,114.0,True,True,True,1,0,hashtag_ad,41,0,False,False,0.4146341463414634,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,1.0,0.0,283.0
pampersus,C7ZGPj5AFhq,25,0,274,False,107.0,169.0,True,True,True,1,0,hashtag_ad,49,0,False,False,0.2448979591836734,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,1.0,0.0,469.0
pampersus,C8xbXsPhjyU,7,0,3,False,33.0,83.0,False,True,True,1,0,hashtag_ad,68,0,True,False,0.5588235294117647,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,1.0,0.0,255.0
pampersus,C-EAjnYp9AR,1,0,31,False,8.0,73.0,False,True,True,1,0,hashtag_ad,65,0,False,False,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,0.0,1.0,0.0,81.0
pampersus,C83B1EpMdep,13,0,133,False,52.0,131.0,False,True,True,1,0,hashtag_ad,17,0,False,False,0.8235294117647058,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,0.0,1.0,0.0,197.0
pampersus,C2yS1sdsf3e,2,0,215,False,61.0,84.0,False,True,True,1,0,hashtag_ad,28,0,False,False,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,1.0,0.0,365.0
pampersus,DAro7dfsqC5,4,0,3,False,80.0,213.0,False,True,True,1,0,hashtag_ad,24,0,False,False,1.0416666666666667,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,0.0,1.0,0.0,97.0
pampersus,DBKYrykxGEV,7,0,48,False,48.0,92.0,True,True,True,1,0,hashtag_ad,17,0,False,False,0.7647058823529411,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,1.0,0.0,447.0
